Date,Open,High,Low,Close,Volume,OpenInt
2005-11-09,33.781,34.081,33.632,33.802,97976,0
2005-11-10,33.608,33.996,32.804,33.981,123568,0
2005-11-11,33.902,33.902,33.289,33.338,43040,0
2005-11-14,33.313,33.492,32.89,33.073,73933,0
2005-11-15,33.073,33.33,32.842,32.881,83370,0
2005-11-16,32.921,32.991,32.416,32.586,94355,0
2005-11-17,32.665,33.601,32.665,33.595,61007,0
2005-11-18,33.889,34.178,33.384,34.144,69541,0
2005-11-21,34.121,34.452,33.772,34.328,73027,0
2005-11-22,35.784,35.898,34.352,35.173,351442,0
2005-11-23,35.25,35.889,35.109,35.202,173588,0
2005-11-25,35.395,35.551,35.264,35.381,29473,0
2005-11-28,35.575,35.627,35.28,35.619,138175,0
2005-11-29,35.744,36.21,35.612,35.876,143600,0
2005-11-30,36.016,36.643,35.635,35.784,251271,0
2005-12-01,35.898,36.161,35.798,36.092,200341,0
2005-12-02,36.052,36.224,35.652,36.224,72254,0
2005-12-05,36.146,36.146,35.575,35.852,108184,0
2005-12-06,35.929,36.34,35.898,36.262,72254,0
2005-12-07,36.326,36.549,36.023,36.194,222576,0
2005-12-08,36.092,36.092,35.233,35.806,183410,0
2005-12-09,35.859,36.286,35.852,36.169,52864,0
2005-12-12,36.169,36.31,35.644,35.652,54803,0
2005-12-13,35.652,35.798,35.287,35.52,98618,0
2005-12-14,35.587,35.828,35.395,35.511,104308,0
2005-12-15,35.612,35.761,34.969,35.635,150582,0
2005-12-16,35.728,36.286,35.488,35.488,242348,0
2005-12-19,35.603,35.603,34.768,34.9,86985,0
2005-12-20,34.777,35.364,34.777,35.303,85825,0
2005-12-21,35.311,35.661,35.086,35.295,85304,0
2005-12-22,35.295,35.349,34.991,35.147,67468,0
2005-12-23,35.225,35.25,34.737,35.049,48602,0
2005-12-27,35.049,35.093,34.444,34.444,227485,0
2005-12-28,34.452,34.777,34.39,34.522,121754,0
2005-12-29,34.522,34.583,34.32,34.482,93577,0
2005-12-30,34.39,34.39,33.957,34.042,125893,0
2006-01-03,34.167,35.381,33.909,35.273,141015,0
2006-01-04,35.25,35.619,34.978,35.559,101336,0
2006-01-05,35.559,35.559,35.086,35.349,67858,0
2006-01-06,35.504,35.661,35.086,35.504,54027,0
2006-01-09,35.551,35.784,35.403,35.587,101204,0
2006-01-10,35.551,35.784,35.488,35.582,63076,0
2006-01-11,35.582,35.683,35.202,35.326,154590,0
2006-01-12,35.295,35.466,34.985,35.009,57773,0
2006-01-13,34.9,35.194,34.599,34.715,109479,0
2006-01-17,34.522,34.876,34.305,34.824,117492,0
2006-01-18,34.737,34.948,34.545,34.808,70442,0
2006-01-19,34.808,35.208,34.583,35.165,62817,0
2006-01-20,35.303,35.303,34.876,34.924,67989,0
2006-01-23,34.932,34.985,34.235,34.545,82595,0
2006-01-24,34.568,34.893,34.506,34.753,81818,0
2006-01-25,34.745,34.745,34.144,34.345,110512,0
2006-01-26,34.622,34.7,34.267,34.622,115552,0
2006-01-27,34.7,35.242,34.638,34.948,148769,0
2006-01-30,34.932,35.202,34.444,34.622,129769,0
2006-01-31,34.491,34.53,34.212,34.267,152258,0
2006-02-01,34.267,34.406,34.081,34.159,110253,0
2006-02-02,34.121,34.359,33.422,34.252,187677,0
2006-02-03,34.328,34.816,34.273,34.398,114002,0
2006-02-06,34.273,34.545,33.94,34.159,181212,0
2006-02-07,34.151,34.43,33.889,33.989,110770,0
2006-02-08,34.042,34.167,33.772,34.011,89317,0
2006-02-09,34.011,34.259,33.731,33.966,77293,0
2006-02-10,33.957,34.359,33.624,34.22,87894,0
2006-02-13,34.002,34.159,33.261,33.579,184059,0
2006-02-14,33.601,33.957,33.363,33.772,106248,0
2006-02-15,33.731,34.033,33.462,34.033,116200,0
2006-02-16,34.43,35.652,34.422,34.816,224122,0
2006-02-17,34.932,35.395,34.793,35.14,242348,0
2006-02-21,35.18,35.28,35.024,35.156,297802,0
2006-02-22,35.156,35.495,35.117,35.358,188968,0
2006-02-23,35.358,36.146,34.737,36.083,371733,0
2006-02-24,36.083,36.194,35.711,36.023,110512,0
2006-02-27,36.023,36.354,36.023,36.177,136879,0
2006-02-28,36.177,36.177,35.669,36.108,87502,0
2006-03-01,36.21,36.317,35.953,36.302,71348,0
2006-03-02,36.302,36.302,35.767,36.077,93577,0
2006-03-03,35.953,36.31,35.828,35.923,95390,0
2006-03-06,35.587,35.915,35.551,35.792,121754,0
2006-03-07,35.696,35.728,35.156,35.242,168155,0
2006-03-08,35.242,35.358,34.808,35.049,123436,0
2006-03-09,35.147,35.349,34.7,34.839,120981,0
2006-03-10,34.816,35.165,34.482,35.009,103787,0
2006-03-13,35.072,35.333,34.352,35.024,89571,0
2006-03-14,35.024,35.52,34.793,35.403,104824,0
2006-03-15,35.388,35.466,35.056,35.349,98106,0
2006-03-16,35.373,35.551,35.18,35.419,112192,0
2006-03-17,35.542,35.542,35.165,35.273,315120,0
2006-03-20,35.273,35.457,35.147,35.381,173069,0
2006-03-21,35.41,35.442,35.078,35.28,135458,0
